Жизнь	жизн	жизнь
пренеприятная	пренеприятн	пренеприятный
штука	штук	штука
но	но	но
сделать	сдела	сделать
ее	е	она
прекрасной	прекрасн	прекрасный
очень	очен	очень
нетрудно	нетрудн	нетрудно
Для	для	для
того	тог	тот
чтобы	чтоб	чтобы
ощущать	ощуща	ощущать
в	в	в
себе	себ	себя
счастье	счаст	счастие
без	без	без
перерыва	перерыв	перерыв
даже	даж	даже
в	в	в
минуты	минут	минута
скорби	скорб	скорбь
и	и	и
печали	печа	печаль
нужно	нужн	нужно
уметь	умет	уметь
довольствоваться	довольствова	довольствоваться
настоящим	настоя	настоящий
и	и	и
радоваться	радова	радоваться
сознанию	сознан	сознание
что	что	что
могло	могл	мочь
бы	бы	бы
быть	быт	быть
и	и	и
хуже	хуж	плохой
А	а	а
это	эт	это
нетрудно	нетрудн	нетрудно
Когда	когд	когда
у	у	у
тебя	теб	ты
в	в	в
кармане	карман	карман
загораются	загора	загораться
спички	спичк	спичка
то	то	то
радуйся	рад	радоваться
и	и	и
благодари	благодар	благодарить
небо	неб	небо
что	что	что
у	у	у
тебя	теб	ты
в	в	в
кармане	карман	карман
не	не	не
пороховой	порохов	пороховой
погреб	погреб	погреб
Когда	когд	когда
в	в	в
твой	тво	твой
палец	палец	палец
попадает	попада	попадать
заноза	заноз	заноза
радуйся	рад	радоваться
Хорошо	хорош	хорошо
что	что	что
не	не	не
в	в	в
глаз	глаз	глаз
Если	есл	если
твоя	тво	твой
жена	жен	жена
играет	игра	играть
гаммы	гамм	гамма
то	то	то
не	не	не
выходи	выход	выходить
из	из	из
себя	себ	себя
а	а	а
не	не	не
находи	наход	находить
себе	себ	себя
место	мест	место
от	от	от
радости	радост	радость
что	что	что
ты	ты	ты
слушаешь	слуша	слушать
игру	игр	игра
а	а	а
не	не	не
вой	во	вой
шакалов	шакал	шакал
Радуйся	рад	радоваться
что	что	что
ты	ты	ты
не	не	не
лошадь	лошад	лошадь
не	не	не
свинья	свин	свинья
не	не	не
осел	осел	осесть
не	не	не
медведь	медвед	медведь
которого	котор	который
водят	вод	водить
цыгане	цыган	цыган
не	не	не
клоп	клоп	клоп
Радуйся	рад	радоваться
что	что	что
ты	ты	ты
не	не	не
хромой	хром	хрома
не	не	не
слепой	слеп	слепой
не	не	не
глухой	глух	глухой
не	не	не
немой	нем	немой
не	не	не
холерный	холерн	холерный
Если	есл	если
у	у	у
тебя	теб	ты
болит	бол	болеть
один	один	один
зуб	зуб	зуб
то	то	то
ликуй	лик	ликовать
что	что	что
у	у	у
тебя	теб	ты
болят	бол	болеть
не	не	не
все	все	всё
зубы	зуб	зуб
Если	есл	если
жена	жен	жена
тебе	теб	ты
изменила	измен	изменить
то	то	то
радуйся	рад	радоваться
что	что	что
она	он	она
изменила	измен	изменить
тебе	теб	ты
а	а	а
не	не	не
отечеству	отечеств	отечество
И	и	и
так	так	так
далее	дал	далее
Вот	вот	вот
несколько	нескольк	несколько
мобильных	мобильн	мобильный
телефонов	телефон	телефон
для	для	для
тестирования	тестирован	тестирование
Грусть	груст	грусть
Радость	радост	радость
