3-грамма	частота
юности мое сердце	1
мое сердце открыто	1
сердце открыто мир	1
открыто мир казался	1
мир казался бесконечным	1
казался бесконечным жажда	1
бесконечным жажда познания	1
жажда познания утолена	1
познания утолена услышал	1
утолена услышал отца	1
услышал отца фразу	1
отца фразу которую	1
фразу которую навсегда	1
которую навсегда сохранил	1
навсегда сохранил памяти	1
сохранил памяти мысленно	1
памяти мысленно возвращался	1
мысленно возвращался снова	1
возвращался снова снова	1
снова снова протяжении	1
снова протяжении всей	1
протяжении всей своей	1
всей своей жизни	1
своей жизни запомни	1
жизни запомни сын	1
запомни сын сказал	1
сын сказал прежде	1
сказал прежде судить	1
прежде судить ближнего	1
судить ближнего своего	1
ближнего своего подумай	1
своего подумай людей	1
подумай людей благословенной	1
людей благословенной земле	1
благословенной земле которым	1
земле которым колыбели	1
которым колыбели предоставлены	1
колыбели предоставлены такие	1
предоставлены такие привилегии	1
такие привилегии тебе	1
привилегии тебе этим	1
тебе этим ограничился	1
этим ограничился наше	1
ограничился наше общение	1
наше общение отличалось	1
общение отличалось излишним	1
отличалось излишним многословием	1
излишним многословием прекрасно	1
многословием прекрасно понимал	1
прекрасно понимал имел	1
понимал имел виду	1
имел виду нечто	1
виду нечто большее	1
нечто большее сказал	1
большее сказал откуда	1
сказал откуда эта	1
откуда эта строгость	1
эта строгость сдержанность	1
строгость сдержанность суждениях	1
сдержанность суждениях хорошая	1
суждениях хорошая привычка	1
хорошая привычка позволявшая	1
привычка позволявшая подбирать	1
позволявшая подбирать ключи	1
подбирать ключи самым	1
ключи самым запутанным	1
самым запутанным лабиринтам	1
запутанным лабиринтам души	1
лабиринтам души натур	1
души натур сложных	1
натур сложных неординарных	1
сложных неординарных одновременно	1
неординарных одновременно мое	1
одновременно мое наказание	1
мое наказание трезвость	1
наказание трезвость суждениях	1
трезвость суждениях делала	1
суждениях делала жертвой	1
делала жертвой зануд	1
жертвой зануд откровенно	1
зануд откровенно надоедливых	1
откровенно надоедливых людей	1
надоедливых людей посредственный	1
людей посредственный также	1
посредственный также болезненный	1
также болезненный ум	1
болезненный ум чувствует	1
ум чувствует сдержанность	1
чувствует сдержанность набрасывается	1
сдержанность набрасывается законную	1
набрасывается законную добычу	1
законную добычу колледже	1
добычу колледже незаслуженно	1
колледже незаслуженно обвиняли	1
незаслуженно обвиняли интриганстве	1
обвиняли интриганстве самые	1
интриганстве самые нелюдимые	1
самые нелюдимые замкнутые	1
нелюдимые замкнутые люди	1
замкнутые люди мои	1
люди мои ровесники	1
мои ровесники однокашники	1
ровесники однокашники просто	1
однокашники просто посторонние	1
просто посторонние избирали	1
посторонние избирали конфидентом	1
избирали конфидентом поверяли	1
конфидентом поверяли свои	1
поверяли свои самые	1
свои самые потаенные	1
самые потаенные душевные	1
потаенные душевные секреты	1
душевные секреты отнюдь	1
секреты отнюдь претендовал	1
отнюдь претендовал роль	1
претендовал роль исповедника	1
роль исповедника почувствовав	1
исповедника почувствовав чьи	1
почувствовав чьи поползновения	1
чьи поползновения откровенность	1
поползновения откровенность лениво	1
откровенность лениво зевал	1
лениво зевал всячески	1
зевал всячески демонстрировал	1
всячески демонстрировал абсолютное	1
демонстрировал абсолютное равнодушие	1
абсолютное равнодушие мог	1
равнодушие мог пренебрежительно	1
мог пренебрежительно отвернуться	1
пренебрежительно отвернуться уткнуться	1
отвернуться уткнуться книгу	1
уткнуться книгу выбирал	1
книгу выбирал нарочито	1
выбирал нарочито ернический	1
нарочито ернический тон	1
ернический тон исповедальные	1
тон исповедальные излияния	1
исповедальные излияния молодых	1
излияния молодых людей	1
молодых людей крайней	1
людей крайней мере	1
крайней мере словесная	1
мере словесная форма	1
словесная форма изложения	1
форма изложения это	1
изложения это либо	1
это либо заимствованные	1
либо заимствованные книг	1
заимствованные книг красивости	1
книг красивости либо	1
красивости либо грешащие	1
либо грешащие недомолвками	1
грешащие недомолвками полунамеки	1
недомолвками полунамеки сказал	1
полунамеки сказал сдержанность	1
сказал сдержанность суждений	1
сдержанность суждений залог	1
суждений залог некоей	1
залог некоей надежды	1
некоей надежды добропорядочность	1
надежды добропорядочность будущем	1
добропорядочность будущем сегодняшнего	1
будущем сегодняшнего дня	1
сегодняшнего дня перестаю	1
дня перестаю повторять	1
перестаю повторять пожалуй	1
повторять пожалуй забуду	1
пожалуй забуду слов	1
забуду слов моего	1
слов моего отца	1
моего отца произнесенных	1
отца произнесенных всяких	1
произнесенных всяких претензий	1
всяких претензий интеллектуальность	1
претензий интеллектуальность изысканность	1
интеллектуальность изысканность определивших	1
изысканность определивших духовные	1
определивших духовные ориентиры	1
духовные ориентиры главные	1
ориентиры главные нравственные	1
главные нравственные ценности	1
нравственные ценности несомненно	1
ценности несомненно отец	1
несомненно отец обладал	1
отец обладал особым	1
обладал особым даром	1
особым даром чутьем	1
даром чутьем которым	1
чутьем которым природа	1
которым природа наделяет	1
природа наделяет равной	1
наделяет равной мере	1
равной мере воздав	1
мере воздав должное	1
воздав должное своей	1
должное своей терпимости	1
своей терпимости могу	1
терпимости могу отметить	1
могу отметить имеет	1
отметить имеет свои	1
имеет свои границы	1
свои границы мотивация	1
границы мотивация поведения	1
мотивация поведения материя	1
поведения материя тонкая	1
материя тонкая зиждется	1
тонкая зиждется разного	1
зиждется разного рода	1
разного рода причинах	1
рода причинах имеет	1
причинах имеет собой	1
имеет собой разного	1
собой разного рода	1
разного рода почву	1
рода почву твердого	1
почву твердого гранита	1
твердого гранита вязкого	1
гранита вязкого болота	1
вязкого болота правда	1
болота правда иной	1
правда иной момент	1
иной момент совершенно	1
момент совершенно безразлично	1
совершенно безразлично какими	1
безразлично какими мотивами	1
какими мотивами руководствуется	1
мотивами руководствуется человек	1
руководствуется человек своих	1
человек своих поступках	1
своих поступках вернувшись	1
поступках вернувшись востока	1
вернувшись востока минувшей	1
востока минувшей осенью	1
минувшей осенью страстно	1
осенью страстно желал	1
страстно желал видеть	1
желал видеть вокруг	1
видеть вокруг затянутый	1
вокруг затянутый военную	1
затянутый военную униформу	1
военную униформу упорядоченный	1
униформу упорядоченный мир	1
упорядоченный мир стройные	1
мир стройные шеренги	1
стройные шеренги застывших	1
шеренги застывших стойке	1
застывших стойке смирно	1
стойке смирно обывателей	1
смирно обывателей чувствовал	1
обывателей чувствовал занимательные	1
чувствовал занимательные экскурсы	1
занимательные экскурсы потаенным	1
экскурсы потаенным уголкам	1
потаенным уголкам человеческой	1
уголкам человеческой души	1
человеческой души перестали	1
души перестали доставлять	1
перестали доставлять какое	1
доставлять какое либо	1
какое либо удовольствие	1
либо удовольствие делал	1
удовольствие делал одно	1
делал одно единственное	1
одно единственное исключение	1
единственное исключение некоего	1
исключение некоего гэтсби	1
некоего гэтсби человека	1
гэтсби человека чьим	1
человека чьим именем	1
чьим именем названо	1
именем названо это	1
названо это произведение	1
это произведение самого	1
произведение самого гэтсби	1
самого гэтсби который	1
гэтсби который видимому	1
который видимому воплощал	1
видимому воплощал искренне	1
воплощал искренне презирал	1
искренне презирал перестану	1
презирал перестану презирать	1
перестану презирать каких	1
презирать каких обстоятельствах	1
каких обстоятельствах избрать	1
обстоятельствах избрать мерилом	1
избрать мерилом личности	1
мерилом личности определенного	1
личности определенного рода	1
определенного рода умение	1
рода умение проявить	1
умение проявить отметил	1
проявить отметил нем	1
отметил нем повышенную	1
нем повышенную сенситивность	1
повышенную сенситивность разнообразным	1
сенситивность разнообразным соблазнам	1
разнообразным соблазнам проявлениям	1
соблазнам проявлениям жизни	1
проявлениям жизни ту	1
жизни ту самую	1
ту самую повышенную	1
самую повышенную чувствительность	1
повышенную чувствительность сейсмического	1
чувствительность сейсмического прибора	1
сейсмического прибора которая	1
прибора которая позволяет	1
которая позволяет регистрировать	1
позволяет регистрировать подземные	1
регистрировать подземные толчки	1
подземные толчки десятки	1
толчки десятки тысяч	1
десятки тысяч миль	1
тысяч миль эпицентра	1
миль эпицентра землетрясения	1
эпицентра землетрясения эта	1
землетрясения эта моментальная	1
эта моментальная адекватная	1
моментальная адекватная реакция	1
адекватная реакция имела	1
реакция имела абсолютно	1
имела абсолютно общего	1
абсолютно общего той	1
общего той слезливой	1
той слезливой впечатлительностью	1
слезливой впечатлительностью громко	1
впечатлительностью громко именуемой	1
громко именуемой артистическим	1
именуемой артистическим складом	1
артистическим складом темперамента	1
складом темперамента это	1
темперамента это устремленный	1
это устремленный будущее	1
устремленный будущее порыв	1
будущее порыв романтически	1
порыв романтически взрывной	1
романтически взрывной запал	1
взрывной запал который	1
запал который удалось	1
который удалось встретить	1
удалось встретить ком	1
встретить ком сих	1
ком сих пор	1
сих пор вряд	1
пор вряд доведется	1
вряд доведется сделать	1
доведется сделать это	1
сделать это ближайшее	1
это ближайшее время	1
ближайшее время гэтсби	1
время гэтсби изменил	1
гэтсби изменил решающий	1
изменил решающий момент	1
решающий момент собственно	1
момент собственно говоря	1
собственно говоря поведение	1
говоря поведение конец	1
поведение конец истории	1
конец истории заставили	1
истории заставили усомниться	1
заставили усомниться людях	1
усомниться людях проливающих	1
людях проливающих слезы	1
проливающих слезы легкостью	1
слезы легкостью разражаются	1
легкостью разражаются смехом	1
разражаются смехом это	1
смехом это пустякам	1
это пустякам определенное	1
пустякам определенное время	1
определенное время утратить	1
время утратить интерес	1
утратить интерес заставило	1
интерес заставило иррациональное	1
заставило иррациональное нечто	1
иррациональное нечто которое	1
нечто которое довлело	1
которое довлело гэтсби	1
довлело гэтсби те	1
гэтсби те ядовитые	1
те ядовитые клубы	1
ядовитые клубы зависти	1
клубы зависти ревности	1
зависти ревности недоброжелательства	1
ревности недоброжелательства которые	1
недоброжелательства которые клубились	1
которые клубились мечтой	1
клубились мечтой семья	1
мечтой семья виду	1
семья виду активно	1
виду активно участвуя	1
активно участвуя общественной	1
участвуя общественной деловой	1
общественной деловой жизни	1
деловой жизни тихого	1
жизни тихого городка	1
тихого городка среднем	1
городка среднем западе	1
среднем западе поколения	1
западе поколения моих	1
поколения моих предков	1
моих предков усердно	1
предков усердно трудились	1
усердно трудились благо	1
трудились благо америки	1
благо америки забывая	1
америки забывая своем	1
забывая своем собственном	1
своем собственном процветании	1
собственном процветании род	1
процветании род каррауэев	1
род каррауэев представляет	1
каррауэев представляет собой	1
представляет собой нечто	1
собой нечто вроде	1
нечто вроде клана	1
вроде клана семье	1
клана семье принято	1
семье принято считать	1
принято считать прямые	1
считать прямые потомки	1
прямые потомки герцогов	1
потомки герцогов бэклу	1
герцогов бэклу однако	1
бэклу однако родоначальником	1
однако родоначальником нашей	1
родоначальником нашей генеалогической	1
нашей генеалогической ветви	1
генеалогической ветви считается	1
ветви считается брат	1
считается брат моего	1
брат моего деда	1
моего деда который	1
деда который приехал	1
который приехал средний	1
приехал средний запад	1
средний запад году	1
запад году наняв	1
году наняв волонтера	1
наняв волонтера который	1
волонтера который отправлен	1
который отправлен вместо	1
отправлен вместо действующую	1
вместо действующую армию	1
действующую армию двоюродный	1
армию двоюродный дед	1
двоюродный дед избежал	1
дед избежал участия	1
избежал участия братоубийственной	1
участия братоубийственной гражданской	1
братоубийственной гражданской войне	1
гражданской войне осел	1
войне осел нашем	1
осел нашем городке	1
нашем городке открыл	1
городке открыл свой	1
