Жизнь жизн
пренеприятная пренеприятн
штука штук
но но
сделать сдела
ее е
прекрасной прекрасн
очень очен
нетрудно нетрудн
Для для
того тог
чтобы чтоб
ощущать ощуща
в в
себе себ
счастье счаст
без без
перерыва перерыв
даже даж
в в
минуты минут
скорби скорб
и и
печали печа
нужно нужн
уметь умет
довольствоваться довольствова
настоящим настоя
и и
радоваться радова
сознанию сознан
что что
могло могл
бы бы
быть быт
и и
хуже хуж
А а
это эт
нетрудно нетрудн
Когда когд
у у
тебя теб
в в
кармане карман
загораются загора
спички спичк
то то
радуйся рад
и и
благодари благодар
небо неб
что что
у у
тебя теб
в в
кармане карман
не не
пороховой порохов
погреб погреб
Когда когд
в в
твой тво
палец палец
попадает попада
заноза заноз
радуйся рад
Хорошо хорош
что что
не не
в в
глаз глаз
Если есл
твоя тво
жена жен
играет игра
гаммы гамм
то то
не не
выходи выход
из из
себя себ
а а
не не
находи наход
себе себ
место мест
от от
радости радост
что что
ты ты
слушаешь слуша
игру игр
а а
не не
вой во
шакалов шакал
Радуйся рад
что что
ты ты
не не
лошадь лошад
не не
свинья свин
не не
осел осел
не не
медведь медвед
которого котор
водят вод
цыгане цыган
не не
клоп клоп
Радуйся рад
что что
ты ты
не не
хромой хром
не не
слепой слеп
не не
глухой глух
не не
немой нем
не не
холерный холерн
Если есл
у у
тебя теб
болит бол
один один
зуб зуб
то то
ликуй лик
что что
у у
тебя теб
болят бол
не не
все все
зубы зуб
Если есл
жена жен
тебе теб
изменила измен
то то
радуйся рад
что что
она он
изменила измен
тебе теб
а а
не не
отечеству отечеств
И и
так так
далее дал
Вот вот
несколько нескольк
мобильных мобильн
телефонов телефон
для для
тестирования тестирован
Грусть груст
Радость радост
