Эмоции    эмоц    эмоция
это    эт    это
то    то    то
что    что    что
ты    ты    ты
получаешь    получа    получать
в    в    в
не    не    не
зависимости    зависим    зависимость
хочешь    хочеш    хотеть
ты    ты    ты
этого    эт    это
или    ил    или
нет    нет    нет
И    и    и
это    эт    это
не    не    не
просто    прост    просто
эмоции    эмоц    эмоция
Я    я    я
не    не    не
испытывал    испытыва    испытывать
такого    так    такой
никогда    никогд    никогда
с    с    с
одной    одн    один
стороны    сторон    сторона
тазик    тазик    тазик
над    над    над
головой    голов    голова
со    со    с
зловонной    зловон    зловонный
жидкостью    жидкост    жидкость
так    так    так
и    и    и
плещется    плещет    плескаться
опрокидываясь    опрокидыв    опрокидываться
на    на    на
тебя    теб    ты
иногда    иногд    иногда
после    посл    после
доброго    добр    добрый
комментария    комментар    комментарий
и    и    и
сразу    сраз    сразу
же    же    же
наполняясь    наполн    наполняться
опять    опя    опять
ожидая    ожид    ожидать
своей    сво    свой
минуты    минут    минута
С    с    с
другой    друг    другой
это    эт    это
гормоны    гормон    гормон
радости    радост    радость
которые    котор    который
начинают    начина    начинать
быстро    быстр    быстро
выделяться    выделя    выделяться
когда    когд    когда
звездочки    звездочк    звёздочка
и    и    и
лайки    лайк    лайк
растут    растут    расти
и    и    и
ты    ты    ты
понимаешь    понима    понимать
что    что    что
кому    ком    кто
то    то    то
твой    тво    твой
труд    труд    труд
пришелся    пришел    прийтись
по    по    по
вкусу    вкус    вкус
Так    так    так
вот    вот    вот
состояние    состоян    состояние
в    в    в
котором    котор    который
ты    ты    ты
находишься    наход    находиться
после    посл    после
первой    перв    первый
статьи    стат    статья
это    эт    это
термоядерная    термоядерн    термоядерный
смесь    сме    смесь
положительного    положительн    положительный
и    и    и
отрицательного    отрицательн    отрицательный
которая    котор    который
уживается    ужива    уживаться
в    в    в
тебе    теб    ты
одновременно    одновремен    одновременно
Я    я    я
не    не    не
любитель    любител    любитель
такого    так    такой
каламбура    каламбур    каламбур
эмоций    эмоц    эмоция
но    но    но
точно    точн    точно
знаю    зна    знать
что    что    что
многим    мног    многий
эти    эт    этот
состояния    состоян    состояние
просто    прост    просто
необходимы    необходим    необходимый
как    как    как
воздух    воздух    воздух
Кому    ком    кто
то    то    то
полезно    полезн    полезно
встряхнуться    встряхнут    встряхнуться
и    и    и
посмотреть    посмотрет    посмотреть
на    на    на
некоторые    некотор    некоторый
вещи    вещ    вещь
другими    друг    другой
глазами    глаз    глаз
Но    но    но
во    во    в
всех    всех    весь
случаях    случа    случай
надо    над    надо
быть    быт    быть
психологически    психологическ    психологически
готовым    готов    готовый
к    к    к
совершенно    совершен    совершенно
неожиданному    неожида    неожиданный
развитию    развит    развитие
событий    событ    событие
