Мои 3-граммы	NLTK 3-граммы
миссис мак ки	миссис мак ки
мистер мак ки	мистер мак ки
э э э	э э э
подолы белоснежных платьев	бьющая край жизненная
бьющая край жизненная	край жизненная энергия
край жизненная энергия	подолы белоснежных платьев
одному богу известно	доктора т дж
доктора т дж	одному богу известно
т дж эклберга	т дж эклберга
пепельно серые призраки	пепельно серые призраки
второй половине дня	второй половине дня
которого прозвали петером	которого прозвали петером
своей обычной манере	своей обычной манере
сходила нему ума	сходила нему ума
само собой разумеется	само собой разумеется
джордж б вильсон	джордж б вильсон
тех пор пока	тех пор пока
особа нью йорке	особа нью йорке
несколько дней человек	несколько дней человек
казался бесконечным жажда	de ville непременной
бесконечным жажда познания	hotel de ville
жажда познания утолена	ville непременной угловой
сохранил памяти мысленно	авеню тихую уютную
памяти мысленно возвращался	адекватная реакция имела
позволявшая подбирать ключи	акватории западного полушария
подбирать ключи самым	аккомпанемент стаккато лягушек
ключи самым запутанным	аккомпанементом вошла твердой
самым запутанным лабиринтам	активно участвуя общественной
натур сложных неординарных	аллеям парка собирался
жертвой зануд откровенно	алтаря радушный прием
