Мои 3-граммы	T-score 1	NLTK 3-граммы	T-Score 2
миссис мак ки	2.4486169865170155	миссис мак ки	2.449457418477024
мистер мак ки	1.9996436987463475	мистер мак ки	1.999986803657272
э э э	1.9993382976717882	э э э	1.9999754925063624
подолы белоснежных платьев	1.4142101548595516	бьющая край жизненная	1.4142134361688896
бьющая край жизненная	1.4142101548595516	край жизненная энергия	1.4142134361688896
край жизненная энергия	1.4142101548595516	подолы белоснежных платьев	1.4142134361688896
одному богу известно	1.41420845110278	доктора т дж	1.414213373066787
доктора т дж	1.41420845110278	одному богу известно	1.414213373066787
т дж эклберга	1.41420845110278	т дж эклберга	1.414213373066787
пепельно серые призраки	1.4142058954676227	пепельно серые призраки	1.414213278413633
второй половине дня	1.4142033398324652	второй половине дня	1.414213183760479
которого прозвали петером	1.4142033398324652	которого прозвали петером	1.414213183760479
своей обычной манере	1.414199932318922	своей обычной манере	1.4142130575562737
сходила нему ума	1.4141905616566781	сходила нему ума	1.414212710494709
само собой разумеется	1.4141897097782923	само собой разумеется	1.4142126789436578
джордж б вильсон	1.4141522271293165	джордж б вильсон	1.4142112906973994
тех пор пока	1.414142004588687	тех пор пока	1.4142109120847837
особа нью йорке	1.414132633926443	особа нью йорке	1.4142105650232188
несколько дней человек	1.41407939152733	несколько дней человек	1.414208593082511
казался бесконечным жажда	0.9999993976310166	de ville непременной	0.9999999776900377
бесконечным жажда познания	0.9999993976310166	hotel de ville	0.9999999776900377
жажда познания утолена	0.9999993976310166	ville непременной угловой	0.9999999776900377
сохранил памяти мысленно	0.9999993976310166	авеню тихую уютную	0.9999999776900377
памяти мысленно возвращался	0.9999993976310166	адекватная реакция имела	0.9999999776900377
позволявшая подбирать ключи	0.9999993976310166	акватории западного полушария	0.9999999776900377
подбирать ключи самым	0.9999993976310166	аккомпанемент стаккато лягушек	0.9999999776900377
ключи самым запутанным	0.9999993976310166	аккомпанементом вошла твердой	0.9999999776900377
самым запутанным лабиринтам	0.9999993976310166	активно участвуя общественной	0.9999999776900377
натур сложных неординарных	0.9999993976310166	аллеям парка собирался	0.9999999776900377
жертвой зануд откровенно	0.9999993976310166	алтаря радушный прием	0.9999999776900377
